AttendanceEventId,Forename,Surname,PostTown,Postcode,HomeLat,HomeLong,County,Region,SessionDate,SessionStartTime,SessionEndTime,NumberofBeds,Numberofconsultants,NumberofNurses,NumberInvited,NumberAttended,NumberofDonations,TotalBloodCollected,VenueName,VenueDesc,VenuePostTown,VenuePostcode,VenueLong,VenueLat,VenueCounty,VenueRegion,SurfaceTemperatureCelsius,SurfaceDewpointTemperatureCelsius,SurfaceWetBulbTemperatureCelsius,RelativeHumidityPercent,SurfaceAirPressureKilopascals,CloudCoveragePercent,WindChillTemperatureCelsius,ApparentTemperatureCelsius,WindSpeedKph,WindDirectionDegrees,PrecipitationPreviousHourCentimeters,HeatIndexCelsius,SnowfallCentimeters,SurfaceWindGustsKph,AttendanceStartTime,AttendanceEndTime,EventCost
3728,Some,One,Taunton,TA3 6FF,51.0153,-3.1068,Somerset,West,2015-01-11,2015-01-11 09:00,2015-01-11 14:00,6,3,6,50,23,14,8,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,20,16.14999962,17.5,79,100.4,19,20,20,6.9,266,0,20,0,39.1,2017-06-17 09:00,2017-06-17 10:00,1.26
1126,Harry,Kane,Bristol,BS10 3FG,51.4545,-2.5879,Avon,West,2015-01-12,2015-01-12 09:00,2015-01-12 14:00,6,3,6,50,23,14,8,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,19.2,16.46999931,17.4,85,101.3,99,19.2,19.2,5,344,0.038,19.2,0,31.1,2015-07-02 12:00,2015-07-02 13:00,6.93
1488,Alan,Tracy,Halifax,HA1 1SD,53.7271,-1.8575,West Yorkshire,North,2015-01-13,2015-01-13 09:00,2015-01-13 14:00,6,3,6,50,23,14,8,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,14.7,12.90999985,13.6,89,101.1,100,14.7,14.7,39.1,207,0.156,14.7,0,50.3,2016-06-28 12:00,2016-06-28 13:00,1.67
4358,Scott,Tracy,Wolverhampton,WL1 1HY,52.5871,-2.1289,West Midlands,Midlands,2015-01-14,2015-01-14 09:00,2015-01-14 14:00,9,1,8,40,23,14,8,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,15.8,8.529999733,11.7,62,99.9,27,15.8,15.8,25.1,288,0.00254,15.8,0,58.3,2016-08-08 14:00,2016-08-08 15:00,2.41
6061,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-01-15,2015-01-15 09:00,2015-01-15 14:00,6,3,6,50,23,22,13,WEC,West end centre,London,W1 4AB,0.1354,51.5154,Greater London,South,8.9,4.079999924,6.5,72,99,0,5.1,5.1,30.4,224,0.00254,8.9,0,57.3,2016-02-07 14:00,2016-02-07 15:00,1.91
3743,Some,One,Taunton,TA3 6FF,51.0153,-3.1068,Somerset,West,2015-01-16,2015-01-16 09:00,2015-01-16 14:00,9,4,8,200,144,110,63,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,13.3,9,10.9,75,99.9,67,13.3,13.3,19.6,298,0,13.3,0,57.5,2017-07-02 09:00,2017-07-02 10:00,2.84
1785,Iam,Extraordinary,Middlesborough,ML2 5JK,54.5742,-1.2349,Durham,North,2015-01-17,2015-01-17 09:00,2015-01-17 14:00,3,0,4,25,12,5,3,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,10.9,8.430000305,9.5,85,102.6,99,10.9,10.9,7.5,286,0,10.9,0,23.9,2017-04-21 09:00,2017-04-21 10:00,8.59
6372,Lady,Penelope,Mayfair,W1 1 RG,51.5116,-0.1478,Greater London,South,2015-01-18,2015-01-18 09:00,2015-01-18 14:00,9,1,8,40,23,14,8,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,9.5,6.389999866,7.9,81,101.4,17,7.5,7.5,13.8,148,0,9.5,0,25.1,2016-12-14 15:00,2016-12-14 16:00,3.53
8363,Craig,Revelhalwood,Thetford,TH2 7UM,52.4129,0.7517,Norfolk,East,2015-01-19,2015-01-19 09:00,2015-01-19 14:00,3,2,4,45,23,14,8,CDF,Cardiff,Cardiff,CF10 2GV,-3.1791,51.4816,Glamorgan,West,14.9,11.5,12.9,81,102.4,100,14.9,14.9,19.9,193,0,14.9,0,24.9,2015-09-20 11:00,2015-09-20 12:00,1.12
12770,Barney,Dog,Wokingham,RG40 2JU,51.4105,-0.8339,Berkshire,South,2015-01-20,2015-01-20 09:00,2015-01-20 14:00,6,2,4,35,20,11,6,SC,South Centre,London,SE1 8HG,-0.0879,51.4992,Greater London,South,20.9,11.94999981,15.3,56,101.8,99,20.9,20.9,13.6,290,0,20.9,0,33.3,2017-06-16 14:00,2017-06-16 15:00,7.72
5229,Captain,Scarlet,Brixton,E14 1 DA,51.4613,-0.1156,Greater London,South,2015-01-21,2015-01-21 09:00,2015-01-21 14:00,6,1,3,30,12,5,3,NC,North Centre,London,N1 5TH,-0.0881,51.5413,Greater London,South,18.6,10.85000038,13.9,61,100.7,2,18.6,18.6,14.5,61,0,18.6,0,34.8,2016-05-28 14:00,2016-05-28 15:00,2.64
10317,Gareth,Southgate,Penzance,PN4 4 TH,50.1188,-5.5376,Cornwall,West,2015-01-22,2015-01-22 09:00,2015-01-22 14:00,9,1,8,40,23,14,8,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,9.7,8.529999733,9.1,92,98,99,6.4,6.4,27.3,197,0.00254,9.7,0,70.1,2015-11-27 13:00,2015-11-27 14:00,6.04
11222,Harry,Kane,Bristol,BS10 3FG,51.4545,-2.5879,Avon,West,2015-01-23,2015-01-23 09:00,2015-01-23 14:00,3,3,7,115,78,58,33,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,13.3,8.930000305,10.9,75,102.9,99,13.3,13.3,14.3,355,0,13.3,0,21.7,2015-10-20 13:00,2015-10-20 14:00,3.21
14734,Alan,Tracy,Halifax,HA1 1SD,53.7271,-1.8575,West Yorkshire,North,2015-01-24,2015-01-24 09:00,2015-01-24 14:00,3,2,5,45,27,17,10,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,0.4,-2.460000038,-0.6,82,98.3,94,-3.2,-3.2,11.7,336,0,0.4,0,46.2,2015-02-02 15:00,2015-02-02 16:00,1.82
6673,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-01-25,2015-01-25 09:00,2015-01-25 14:00,3,2,4,45,23,14,8,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,3.2,3.140000105,3.1,100,100.4,100,-0.3,-0.3,14,34,0.00254,3.2,0,23.9,2015-03-13 15:00,2015-03-13 16:00,3.75
3934,Bruno,Tonolli,Ipswich,IP3 5PQ,52.0567,1.1482,Suffolk,East,2015-01-26,2015-01-26 09:00,2015-01-26 14:00,6,3,6,50,23,14,8,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,17.7,11.28999996,13.8,66,101.3,44,17.7,17.7,19.5,64,0,17.7,0,44.7,2015-06-11 09:00,2015-06-11 10:00,3.81
3699,Barney,Dog,Wokingham,RG40 2JU,51.4105,-0.8339,Berkshire,South,2015-01-27,2015-01-27 09:00,2015-01-27 14:00,3,0,4,25,12,5,3,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,7.9,5.909999847,6.9,87,98.9,100,7.2,7.2,5.5,331,0.044,7.9,0,24,2017-05-19 09:00,2017-05-19 10:00,8.64
8985,Mrs,Chef,Wokingham,RG40 4UD,51.4105,-0.8339,Berkshire,South,2015-01-28,2015-01-28 09:00,2015-01-28 14:00,6,3,6,50,23,14,8,CDF,Cardiff,Cardiff,CF10 2GV,-3.1791,51.4816,Glamorgan,West,13.9,9.840000153,11.6,76,101.6,93,13.9,13.9,26.6,267,0,13.9,0,35,2017-06-03 12:00,2017-06-03 13:00,5.04
9595,Iam,Extraordinary,Middlesborough,ML2 5JK,54.5742,-1.2349,Durham,North,2015-01-29,2015-01-29 09:00,2015-01-29 14:00,9,1,8,40,23,14,8,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,15.2,8.930000305,11.6,66,99.6,68,15.2,15.2,23.1,295,0,15.2,0,55.8,2016-07-05 12:00,2016-07-05 13:00,6.01
11900,Darcy,Bussell,Wolverhampton,WL2,52.5871,-2.1289,West Midlands,Midlands,2015-01-30,2015-01-30 09:00,2015-01-30 14:00,6,2,4,35,20,11,6,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,4.9,3.710000038,4.3,92,97.4,100,-1.7,-1.7,55.3,278,0.239,4.9,0,117.1,2015-01-28 09:00,2015-01-28 10:00,1.69
12485,Mrs,Chef,Wokingham,RG40 4UD,51.4105,-0.8339,Berkshire,South,2015-01-31,2015-01-31 09:00,2015-01-31 14:00,9,4,8,200,144,110,63,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,14.9,13.06999969,13.8,89,99.1,100,14.9,14.9,15,278,0.00254,14.9,0,47.9,2016-09-04 14:00,2016-09-04 15:00,4.63
7720,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-02-01,2015-02-01 09:00,2015-02-01 14:00,3,3,7,115,78,58,33,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,13.1,11.90999985,12.4,92,99.8,100,13.1,13.1,6,182,0.00254,13.1,0,22.2,2015-06-25 09:00,2015-06-25 10:00,7.13
7803,Some,One,Taunton,TA3 6FF,51.0153,-3.1068,Somerset,West,2015-02-02,2015-02-02 09:00,2015-02-02 14:00,6,3,6,50,23,14,8,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,13.1,11.31000042,12.1,89,98.3,99,13.1,13.1,18.2,61,0.00254,13.1,0,40.7,2015-09-16 09:00,2015-09-16 10:00,8.72
5542,Barney,Dog,Wokingham,RG40 2JU,51.4105,-0.8339,Berkshire,South,2015-02-03,2015-02-03 09:00,2015-02-03 14:00,3,2,5,45,27,17,10,WEC,West end centre,London,W1 4AB,0.1354,51.5154,Greater London,South,14.6,7.5,10.6,62,102.3,91,14.6,14.6,4.1,301,0,14.6,0,20.1,2017-04-06 14:00,2017-04-06 15:00,7.59
848,Gareth,Southgate,Penzance,PN4 4 TH,50.1188,-5.5376,Cornwall,West,2015-02-04,2015-02-04 09:00,2015-02-04 14:00,3,2,4,45,23,14,8,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,9.2,3.769999981,6.6,69,102.2,75,7,7,14.7,333,0,9.2,0,26.7,2017-04-27 12:00,2017-04-27 13:00,8.61
15851,Harry,Kane,Bristol,BS10 3FG,51.4545,-2.5879,Avon,West,2015-02-05,2015-02-05 09:00,2015-02-05 14:00,9,1,8,40,23,14,8,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,16.7,15.10000038,15.7,90,99.9,100,16.7,16.7,56.2,186,0.149,16.7,0,73.8,2015-07-26 09:00,2015-07-26 10:00,8.99
8836,Lady,Penelope,Mayfair,W1 1 RG,51.5116,-0.1478,Greater London,South,2015-02-06,2015-02-06 09:00,2015-02-06 14:00,6,1,3,30,12,5,3,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,2.5,-1.070000052,1,77,101.1,12,-0.1,-0.1,9.1,125,0,2.5,0,29.7,2017-01-05 12:00,2017-01-05 13:00,6.47
11618,Lady,Penelope,Mayfair,W1 1 RG,51.5116,-0.1478,Greater London,South,2015-02-07,2015-02-07 09:00,2015-02-07 14:00,3,0,4,25,12,5,3,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,4.5,2.670000076,3.6,88,97.6,29,0.9,0.9,16.3,235,0.016,4.5,0,39.6,2016-11-19 13:00,2016-11-19 14:00,8.71
14901,Master,Chef,Thetford,TH1 4TG,52.4129,0.7517,Norfolk,East,2015-02-08,2015-02-08 09:00,2015-02-08 14:00,9,4,8,200,144,110,63,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,16.7,13.82999992,14.9,83,101.1,1,16.7,16.7,3.2,185,0,16.7,0,17.2,2015-07-19 15:00,2015-07-19 16:00,4.41
8149,Alan,Tracy,Halifax,HA1 1SD,53.7271,-1.8575,West Yorkshire,North,2015-02-09,2015-02-09 09:00,2015-02-09 14:00,3,2,4,45,23,14,8,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,5.3,4.369999886,4.8,94,101,99,1.9,1.9,17,214,0.00254,5.3,0,28.3,2015-02-18 09:00,2015-02-18 10:00,5.59
1979,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-02-10,2015-02-10 09:00,2015-02-10 14:00,3,2,5,45,27,17,10,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,11.5,9.420000076,10.4,88,100.8,98,11.5,11.5,6.9,228,0,11.5,0,23,2015-04-03 13:00,2015-04-03 14:00,6.27
14983,Tin,Tin,Cheadle,M24 5GN,53.3944,-2.2141,Cheshire,North,2015-02-11,2015-02-11 09:00,2015-02-11 14:00,6,1,3,30,12,5,3,WEC,West end centre,London,W1 4AB,0.1354,51.5154,Greater London,South,15.7,7.559999943,11.2,58,101.6,0,15.7,15.7,9.3,58,0,15.7,0,24.2,2015-10-09 15:00,2015-10-09 16:00,4.98
7315,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-02-12,2015-02-12 09:00,2015-02-12 14:00,9,4,8,200,144,110,63,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,9.5,6.389999866,7.9,81,101.4,17,7.5,7.5,13.8,148,0,9.5,0,25.1,2016-12-14 15:00,2016-12-14 16:00,5.45
8238,Joe,Ninety,Croydon,CR1 2BY,51.3762,-0.0982,Greater London,South,2015-02-13,2015-02-13 09:00,2015-02-13 14:00,6,2,4,35,20,11,6,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,7.6,7.059999943,7.3,97,98,96,4.4,4.4,19.6,254,0.019,7.6,0,67.6,2015-05-18 10:00,2015-05-18 11:00,8.72
7410,Barney,Dog,Wokingham,RG40 2JU,51.4105,-0.8339,Berkshire,South,2015-02-14,2015-02-14 09:00,2015-02-14 14:00,9,3,6,82,67,49,28,NC,North Centre,London,N1 5TH,-0.0881,51.5413,Greater London,South,11.2,8.550000191,9.7,83,100.1,100,11.2,11.2,26.5,244,0.00254,11.2,0,53.7,2017-03-19 15:00,2017-03-19 16:00,6.43
11448,Craig,Revelhalwood,Thetford,TH2 7UM,52.4129,0.7517,Norfolk,East,2015-02-15,2015-02-15 09:00,2015-02-15 14:00,6,2,4,35,20,11,6,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,14.4,7.21999979,10.5,62,100.1,1,14.4,14.4,13.1,41,0,14.4,0,41.6,2016-06-02 13:00,2016-06-02 14:00,1.42
12358,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-02-16,2015-02-16 09:00,2015-02-16 14:00,9,1,8,40,8,2,1,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,9.3,2.869999886,6.2,64,102.5,0,6.8,6.8,16.8,305,0,9.3,0,21.2,2016-04-30 14:00,2016-04-30 15:00,7.85
11033,Captain,Scarlet,Brixton,E14 1 DA,51.4613,-0.1156,Greater London,South,2015-02-17,2015-02-17 09:00,2015-02-17 14:00,6,2,4,35,20,11,6,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,11.5,9.489999771,10.4,87,102.5,0,11.5,11.5,11,138,0,11.5,0,13.2,2015-04-14 13:00,2015-04-14 14:00,2.01
6627,Iam,Extraordinary,Middlesborough,ML2 5JK,54.5742,-1.2349,Durham,North,2015-02-18,2015-02-18 09:00,2015-02-18 14:00,6,2,4,35,20,11,6,WEC,West end centre,London,W1 4AB,0.1354,51.5154,Greater London,South,7.1,4.460000038,5.8,83,101.7,73,3.7,3.7,21,320,0,7.1,0,39.1,2015-01-26 15:00,2015-01-26 16:00,8.99
293,Bruno,Tonolli,Ipswich,IP3 5PQ,52.0567,1.1482,Suffolk,East,2015-02-19,2015-02-19 09:00,2015-02-19 14:00,6,1,3,30,12,5,3,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,10.6,8.520000458,9.5,87,100.5,94,10.6,10.6,15.2,284,0.00254,10.6,0,28.4,2015-10-20 11:00,2015-10-20 12:00,5.28
5657,Harry,Kane,Bristol,BS10 3FG,51.4545,-2.5879,Avon,West,2015-02-20,2015-02-20 09:00,2015-02-20 14:00,6,2,4,35,20,11,6,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,16.2,13.27999973,14.4,83,100.6,1,16.2,16.2,29.3,224,0.067,16.2,0,54.3,2017-07-30 14:00,2017-07-30 15:00,4.33
13173,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-02-21,2015-02-21 09:00,2015-02-21 14:00,3,2,4,45,23,14,8,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,10.3,8.06000042,9.1,86,100.4,100,10.3,10.3,36.1,242,0.036,10.3,0,75.1,2015-12-24 14:00,2015-12-24 15:00,1.61
4423,Lady,Penelope,Mayfair,W1 1 RG,51.5116,-0.1478,Greater London,South,2015-02-22,2015-02-22 09:00,2015-02-22 14:00,3,3,7,115,78,58,33,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,12.4,8.720000267,10.4,79,100.1,68,12.4,12.4,17.3,62,0.00254,12.4,0,33,2016-10-12 14:00,2016-10-12 15:00,8.96
9645,Harry,Kane,Bristol,BS10 3FG,51.4545,-2.5879,Avon,West,2015-02-23,2015-02-23 09:00,2015-02-23 14:00,6,2,4,35,20,11,6,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,16.6,13.81000042,14.8,83,102,94,16.6,16.6,20.2,352,0,16.6,0,25.3,2016-08-24 12:00,2016-08-24 13:00,3.89
14690,Mrs,Chef,Wokingham,RG40 4UD,51.4105,-0.8339,Berkshire,South,2015-02-24,2015-02-24 09:00,2015-02-24 14:00,3,3,7,115,78,58,33,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,15.1,7.619999886,11,61,98.5,99,15.1,15.1,14.6,270,0,15.1,0,52.8,2017-07-20 15:00,2017-07-20 16:00,3.59
7454,Craig,Revelhalwood,Thetford,TH2 7UM,52.4129,0.7517,Norfolk,East,2015-02-25,2015-02-25 09:00,2015-02-25 14:00,9,1,8,40,23,14,8,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,14.2,9.050000191,11.3,71,99.9,35,14.2,14.2,14.4,47,0.02,14.2,0,37.4,2017-05-02 15:00,2017-05-02 16:00,3.49
2954,Craig,Revelhalwood,Thetford,TH2 7UM,52.4129,0.7517,Norfolk,East,2015-02-26,2015-02-26 09:00,2015-02-26 14:00,3,0,4,25,12,5,3,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,9,6.639999866,7.8,86,96.8,100,5.2,5.2,31.8,233,0,9,0,86.9,2015-05-05 13:00,2015-05-05 14:00,1.38
6453,Darcy,Bussell,Wolverhampton,WL2,52.5871,-2.1289,West Midlands,Midlands,2015-02-27,2015-02-27 09:00,2015-02-27 14:00,3,0,4,25,12,5,3,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,3,3.049999952,3,100,96.4,97,3,3,3.2,354,0.056,3,0,22.5,2017-03-05 15:00,2017-03-05 16:00,7.96
5745,Alan,Tracy,Halifax,HA1 1SD,53.7271,-1.8575,West Yorkshire,North,2015-02-28,2015-02-28 09:00,2015-02-28 14:00,3,0,4,25,12,5,3,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,10.4,9.630000114,10,96,98,100,10.4,10.4,31.9,240,0.07,10.4,0,72.3,2015-03-28 14:00,2015-03-28 15:00,7.83
7949,Scott,Tracy,Wolverhampton,WL1 1HY,52.5871,-2.1289,West Midlands,Midlands,2015-03-01,2015-03-01 09:00,2015-03-01 14:00,9,4,8,200,144,110,63,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,2.5,0.980000019,1.8,90,96.1,97,-2.5,-2.5,23.4,242,0.00254,2.5,0,53.7,2016-02-09 09:00,2016-02-09 10:00,7.46
2490,Iam,Ordinary,Hull,HU14 2FS,53.7457,-0.3367,East Yorkshire,North,2015-03-02,2015-03-02 09:00,2015-03-02 14:00,6,2,4,35,20,11,6,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,17.3,13.89000034,15.1,80,101.9,24,17.3,17.3,7.3,292,0,17.3,0,18,2016-08-26 13:00,2016-08-26 14:00,1.4
8661,Craig,Revelhalwood,Thetford,TH2 7UM,52.4129,0.7517,Norfolk,East,2015-03-03,2015-03-03 09:00,2015-03-03 14:00,3,3,7,115,78,58,33,LDS,Leeds,Leeds,LS11 6AX,-1.5491,53.8008,West Yorkshire,North,15.6,9.75,12.3,69,100.2,54,15.6,15.6,14.9,293,0,15.6,0,31.2,2016-07-14 11:00,2016-07-14 12:00,3.65
14883,Alan,Tracy,Halifax,HA1 1SD,53.7271,-1.8575,West Yorkshire,North,2015-03-04,2015-03-04 09:00,2015-03-04 14:00,9,4,8,200,144,110,63,BIR,Birmingham,Birmingham,B1 5TB,-1.8904,52.4862,West Midlands,Midlands,27.3,20.68000031,22.5,67,98.9,96,27.3,29.1,14.7,155,0.00254,29.1,0,98.9,2015-07-01 15:00,2015-07-01 16:00,2.11
1986,Hugo,Lloris,Cardiff,CF3 5TH,51.4816,-3.1791,Glamorgan,West,2015-03-05,2015-03-05 09:00,2015-03-05 14:00,6,3,6,50,23,14,8,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,15.2,7.099999905,10.8,59,99.3,73,15.2,15.2,20.1,168,0,15.2,0,38.1,2015-04-10 13:00,2015-04-10 14:00,1.62
413,Master,Chef,Thetford,TH1 4TG,52.4129,0.7517,Norfolk,East,2015-03-06,2015-03-06 09:00,2015-03-06 14:00,9,3,6,82,67,49,28,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,8,5.860000134,6.9,87,101.2,100,3.8,3.8,32.9,343,0.09,8,0,42.2,2016-02-17 11:00,2016-02-17 12:00,3.68
